,Lat.1.j.,Long.1.j.,Elevation_ds,cz_ds,MAT_ds,MAP_ds,VPD_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
118,-30.54069522,30.2851902,528,Cfa,19.07766684,952,17.96999985,196663,25.2,27.4,47.4,0.0107,19,0.0338,5.6,5.21
119,8.15050482,31.69795931,407,Aw,28.02033313,806,24.69000006,209138,28.8,28.6,42.6,0.0134,17.1,0.0199,6.5,1.73
120,-27.34795105,-171.8367167,-5214,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,-51.51561785,-129.5353678,-4172,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,-12.24392701,13.31832186,-492,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,51.24066746,26.67338706,150,Dfb,7.400666614,618,10.23999995,132608,10.2,29,60.8,0.0113,33,0.1254,6.5,6.31
124,48.57558726,62.40866345,80,BSk,5.586666604,159,7.279999897,179315,31.2,34.8,34,0.0135,23.7,0.0271,7.9,2.51
125,13.71183488,53.26702089,-2538,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,-49.56112313,54.02832359,-4431,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,10.7474606,-18.57276689,-4265,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,-39.89688498,13.83540784,-4329,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,-47.36024131,-132.7230168,-4743,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,8.255344921,-73.49114777,507,Am,24.15166664,1912,31.05000019,207373,34.9,32.1,33,0.0115,17.1,0.0332,5.3,4.57
131,65.84281245,-106.830144,274,ET,-11.26933328,217,4.980000012,114400,14.7,34.9,50.4,0.0074,55.1,0.0415,5.9,8.01
132,58.70138219,-47.70615008,-3122,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,32.47254167,125.5236418,-79,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,-76.4065656,-113.0771167,-354,EF,-21.10366678,621,1.699999988,134000,NA,NA,NA,NA,NA,NA,NA,NA
135,-42.16199236,68.37845723,-4076,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,-30.1832924,-112.8550621,-2907,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,62.71090482,-100.5358395,302,Dfc,-10.16733325,278,4.430000041,122177,20.8,42.4,36.8,0.0072,53.8,0.068,5.9,6.67
138,-25.92713637,-8.262974527,-4257,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,-59.00139612,90.41233566,-4562,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,12.06611177,-173.9928187,-5715,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,-10.66072183,161.8547658,587,Af,23.26666673,3640,31.24000025,226629,40.9,26.9,32.2,0.0106,25,0.0504,5.3,13.42
142,38.39340289,-141.1972335,-5382,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,-5.358511179,-122.1759221,-4300,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,35.36922796,78.2365003,5190,ET,-7.55900003,75,1.360000012,184673,34.4,36.1,29.5,0.0115,23.2,0.0249,7.9,3.09
145,56.74181293,-81.65695122,-131,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,41.32527102,169.4831064,-5404,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,-61.23076266,-131.0242656,-4258,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,9.59330551,173.1395818,-5130,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,45.1153497,-71.90943327,388,Dfb,4.523333194,1180,9.539999902,147636,13.6,47.3,39.2,0.0112,40.2,0.0998,5,9.93
150,30.29282228,-62.26936251,-5078,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,47.97824627,-12.74371642,-3947,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,-15.87671488,141.7016941,9,Aw,27.14300013,1102,26.73000002,251227,26.8,17.8,55.3,0.0135,17.8,0.0078,6.1,1.42
153,-38.46498651,-92.75683503,-2817,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,51.04536458,168.7815112,-2649,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,36.81614366,22.64659404,-9,Csa,17.72611109,570,17.19000006,189930,28.7,44.4,26.9,0.0133,26.8,0.04,7.3,5.24
156,-25.20042908,50.78687701,-5076,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,-25.42479662,42.22000418,-4088,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,46.75697342,-103.2817062,846,Dfb,6.134333059,398,8.000000015,165089,25.8,47.5,26.7,0.0128,20.2,0.0281,6.9,3.14
159,12.26877489,-103.0864373,-3020,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,-16.75008408,-66.10462242,2282,Cwb,16.81333343,1457,14.22999984,180856,30.4,34.7,34.8,0.0106,17.7,0.0469,5.3,7.83
161,40.28209292,42.02296014,2400,Dfb,3.265000045,593,6.61999999,194025,25.2,38.4,36.4,0.0117,25.7,0.0466,6.6,6.03
162,-18.65969332,34.03926459,366,Aw,22.9909997,1126,24.32999992,214932,25.8,14.6,59.6,0.0132,17.7,0.0162,6.2,2.21
163,-73.17043652,110.4680808,-1031,EF,-41.3906668,47,0.489999998,164505,NA,NA,NA,NA,NA,NA,NA,NA
