Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
AE-ADb,24.450883,54.428792,NA,1,WET,NA,BWh,27.7,27.53,75,62,256593,NA,NA,NA,NA,NA,NA,NA,NA
AQ-Kse,-62.232115,-58.804321,0,-426,SNO,EF,EF,-1.6,NA,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-CCa,-35.621,-61.3181,83,81,CRO,Cfa,Cfa,16.1,15.91,1060,1018,198468,16.6,27.8,55.6,0.014,21.3,0.0244,6.9,2.81
AR-CCg,-35.9244,-61.1855,84,85,GRA,Cfa,Cfa,16.1,15.8,1060,1004,197010,17.6,27.3,55,0.0135,23.2,0.0248,7.2,3.34
AR-TF1,-54.9733,-66.7335,40,35,WET,NA,ET,NA,5.32,NA,658,104439,20.9,31.1,48,0.0081,39.6,0.102,5.6,23.38
AR-TF2,-54.8269,-68.4549,60,234,WET,NA,ET,5.5,3.17,530,596,106312,21.7,28.2,50,0.0086,35.1,0.1131,6.6,18.36
AT-Fue,47.367374,11.854709,NA,675,GRA,NA,Dfb,NA,8.66,NA,1123,139271,19.1,47.7,33.2,0.0118,35.2,0.081,6.5,5.83
AT-Hnb,47.803333,13.591389,NA,1205,BSV,NA,Cfb,NA,4.91,NA,1573,128808,29.9,41.1,29,0.0091,33,0.1161,5.3,13.46
AT-Inn,47.264096,11.385816,NA,621,URB,NA,Dfc,9.3,9.16,882,979,139834,NA,NA,NA,NA,NA,NA,NA,NA
AT-Lan,47.061221,10.963454,NA,1468,GRA,NA,ET,NA,4.09,NA,897,145023,19.8,37.7,42.5,0.0104,31.9,0.083,6.3,9.65
AT-Leu,47.378036,11.16278,NA,1294,GRA,NA,Dfc,NA,3,NA,1307,140165,29.1,39,31.9,0.0104,31.2,0.0966,5.9,8.82
AT-Mmg,47.316564,10.970089,NA,1033,ENF,NA,ET,8,7.37,753,1150,142793,20,43.1,36.8,0.0096,35.3,0.0954,5.7,10.08
AT-Neu,47.1166687,11.3175001,NA,1255,GRA,NA,Dfc,6.5,5.02,852,997,142169,15.9,43.1,41.1,0.0104,26.9,0.0853,6.2,8.62
AT-Rtz,47.3947222,11.8047222,NA,699,GRA,NA,Dfb,8.2,8.55,1151,1141,138666,17.6,44.2,38.2,0.0116,31.7,0.0733,6.4,7.36
AT-Sch,47.387291,11.247935,NA,1203,GRA,NA,Dfc,NA,5.42,NA,1264,140525,30.4,38.6,31,0.0102,36.4,0.0976,5.9,9.7
AT-StA,47.12528,11.28944,NA,1560,GRA,NA,Dfc,3,0.62,1097,1169,147645,21,39.7,39.3,0.0092,36.1,0.0915,5.3,10.48
AT-StM,47.12889,11.30583,NA,1560,GRA,NA,Dfc,3,3.97,1097,1052,145404,19.1,41.3,39.6,0.0095,30.7,0.0969,5.6,10.41
AT-StP,47.13694,11.30361,NA,1948,GRA,NA,Dfc,3,3.97,1097,1052,146221,18.2,42.9,38.9,0.0086,31.5,0.0871,5.2,9.77
AT-VnA,48.1818377,16.3908509,NA,186,URB,NA,Cfb,NA,10.4,NA,585,135056,NA,NA,NA,NA,NA,NA,NA,NA
AU-Ade,-13.0769,131.1178,90,76,SAV,NA,Aw,NA,27.23,1730,1409,252081,14.4,13.5,72.1,0.014,10.8,0.009,6,1.04
AU-Arc,-23.85872,148.4746,170,177,EBF,NA,BSh,NA,22.72,572,628,241831,40.4,17.2,42.3,0.0139,38,0.0128,7.7,1.54
AU-ASM,-22.2828,133.2493,606,606,SAV,NA,BSh,NA,22.62,305.9,366,268346,17.6,5.6,76.8,0.0139,36.1,0.0038,6.9,1.03
AU-Boy,-32.477093,116.938559,484,360,EBF,NA,Csa,16.9,16.42,445,469,234614,11.4,8.6,80.1,0.012,17.7,0.0138,6.4,3.21
AU-Cow,-16.238189,145.42715,90,108,WET,NA,Am,NA,24.19,3935,3105,232348,32.5,28.8,38.7,0.0108,18.1,0.0297,5,6.73
AU-Cpr,-34.0027,140.5877,53,55,SAV,NA,BSk,17,17.39,265,268,221668,16.1,7.8,76,0.0118,18,0.0115,8.1,1.72
AU-Ctr,-16.103219,145.447,65,282,EBF,NA,Am,24.4,22.73,5143,3102,233404,36.9,28.1,35,0.0105,17.1,0.0307,5,6.04
AU-Cum,-33.6152,150.7236,20,24,EBF,NA,Cfa,NA,17.34,800,843,203360,14.4,12.7,72.9,0.0116,25.6,0.0245,5.1,3.72
AU-DaP,-14.1331,131.3856,67,80,GRA,NA,Aw,NA,27.13,1250,1140,255563,9.5,5.4,85.1,0.0145,11.8,0.0055,6.5,0.77
AU-DaS,-14.1592,131.3881,53,71,SAV,NA,Aw,NA,27.13,1250,1140,256455,7.8,3.3,88.9,0.0146,10.6,0.0058,6.5,0.75
AU-Drg,-37.1334,147.1709,1648,1501,GRA,NA,Cfb,NA,7.56,NA,1370,187673,20,25.3,54.7,0.0094,23.3,0.0576,5.5,13.11
AU-Dry,-15.2588,132.3706,175,174,SAV,NA,Aw,NA,26.81,895.3,854,259745,25.2,9.3,65.5,0.0148,17.9,0.0051,6.7,0.89
AU-Fle,-19.887285,146.189762,268,258,NA,NA,BSh,NA,23.48,642,664,247692,31.7,16.4,52,0.0143,16.9,0.0067,7,1.15
AU-Fog,-12.5452,131.3072,15,8,WET,NA,Aw,NA,27.04,1411,1466,249735,46,31.9,22.1,0.0131,15.1,0.0164,6.3,2.24
AU-Gin,-31.376351,115.71377,51,51,MF,NA,Csa,18.4,18.44,681,699,242129,10.3,8.3,81.4,0.0119,22.9,0.0221,6.2,4.92
AU-GWW,-30.1913,120.6541,450,447,EBF,NA,BSh,18.8,18.81,265,264,242302,17.2,10.7,72.1,0.0125,20.5,0.0064,7.7,1.28
AU-How,-12.943,131.1523,64,78,WSA,NA,Aw,NA,27.2,1750,1424,251644,17.2,16.8,66,0.0134,11.9,0.0121,5.9,1.55
AU-Lit,-13.179,130.7945,40,228,SAV,NA,Aw,NA,26.3,NA,1585,251461,15.8,15.8,68.5,0.0133,12.8,0.0164,6.2,2.44
AU-Lon,-23.5233,144.3104,191,203,GRA,NA,BSh,23.4,23.6,444,419,260122,44.3,13.2,42.5,0.014,36.6,0.0051,8.5,0.67
AU-Lox,-34.47035,140.65512,53,44,DBF,NA,BSk,16.6,16.9,262.8,277,216522,16.1,11,72.9,0.012,20.4,0.0206,7.9,2.24
AU-Nim,-36.2159,148.5528,1337,1363,GRA,NA,Cfb,NA,8.23,NA,1185,196441,20.1,25,54.8,0.0109,23.2,0.048,6,9.18
AU-Otw,-38.5323,142.8168,54,36,GRA,NA,Cfb,NA,13.79,800,876,183328,14.2,13.9,71.8,0.0097,26.3,0.0354,6.5,10.78
AU-RDF,-14.563639,132.477567,NA,174,CRO,NA,Aw,NA,27,NA,955,256150,9.8,2.1,88.1,0.0146,16.4,0.0088,6,1.06
AU-Rgf,-32.5061,116.9668,330,339,GRA,NA,Csa,NA,16.65,445,456,233900,8.6,9.2,82.2,0.0116,15.1,0.0175,6.2,2.98
AU-Rig,-36.6499,145.576,152,151,GRA,NA,Cfb,NA,15.11,650,618,196602,15.4,22.6,62.1,0.0119,17.5,0.022,6.1,3.98
AU-Rob,-17.1175,145.6301,711,766,EBF,NA,Cfa,NA,20.53,2000,2634,231110,41.2,23.5,35.3,0.0109,15.1,0.0304,5,5.21
AU-Sam,-27.3888,152.8725,NA,73,EBF,NA,Cfa,NA,19.22,1102,1209,216365,27.6,25.2,47.2,0.0122,26.1,0.0224,5.9,3.64
AU-Col,-33.42,116.237,384,217,NA,NA,Csb,NA,15.81,933,767,230897,9,7.1,83.9,0.0113,18.2,0.0248,6,5.13
AU-Sil,-42.090556,147.087,NA,869,NA,NA,Cfb,NA,7.79,NA,827,167089,14.8,18.5,66.7,0.0086,29.2,0.0329,5.6,7.89
AU-Stp,-17.1507,133.3502,250,228,GRA,NA,BSh,NA,26.38,640,641,264975,30.8,14.8,54.4,0.0144,19.2,0.0055,6.9,0.72
AU-TTE,-22.287,133.64,553,552,OSH,NA,BWh,22.6,22.95,305.9,249,267879,15.8,5.2,79,0.0144,32.6,0.004,7.8,1
AU-Tum,-35.6566,148.1516,1260,1255,EBF,NA,Cfb,9.8,9.1,1417,1449,199230,19.5,25.9,54.6,0.0097,20.5,0.0401,5,10.27
AU-Vir,-19.8833,146.5539,NA,300,SAV,NA,Aw,NA,23.39,NA,670,246966,21,15.9,63.2,0.0138,13,0.0059,6.6,1.25
AU-Wac,-37.429,145.1873,720,734,MF,NA,Cfb,NA,11.21,1209,1276,184135,23.9,23.8,52.3,0.0095,19.9,0.0411,5.2,10.8
AU-Whr,-36.6732,145.0294,165,154,EBF,NA,Cfb,NA,14.92,558,581,196352,16.3,23.7,60,0.0103,23.3,0.0241,6,5.6
AU-Wom,-37.4222,144.0944,30,689,EBF,NA,Cfb,12.1,10.66,871,1070,185433,22.1,20.6,57.3,0.0094,24.7,0.04,5.2,12.07
AU-Wrr,-43.095,146.6545,100,298,EBF,NA,Cfb,NA,9.83,1700,1555,162644,29.6,22.2,48.2,0.0085,35.2,0.0574,5.2,17.23
AU-Ync,-34.9893,146.2907,20,126,GRA,BSk,BSk,NA,16.58,465,435,208322,37.6,12.2,50.3,0.0109,17.6,0.0221,6.7,1.38
BD-MYM,24.739348,90.426292,18,15,ENF,Am,Am,25.5,25.17,2353.3,2180,215600,NA,NA,NA,NA,NA,NA,NA,NA
BE-Bra,51.30761,4.51984,NA,18,MF,NA,Cfb,9.8,10.35,750,808,118474,18.4,21.3,60.3,0.0108,24.9,0.0394,4.8,6.99
BE-Dor,50.311876,4.968113,NA,247,GRA,NA,Cfb,NA,9.23,NA,849,122580,23.4,63.1,13.4,0.0129,26.5,0.0586,6.2,6.38
BE-Jal,50.5638889,6.07333333,NA,496,MF,NA,Cfb,6,8.04,1200,1108,121537,27.4,53.5,19.1,0.0108,32.2,0.057,4.4,11.49
BE-Lcr,51.11218,3.85043,NA,4,DBF,NA,Cfb,10.8,10.48,872.7,782,119527,26.3,24.4,49.4,0.0123,26.2,0.0484,5.6,4.65
BE-Lon,50.5516198,4.7462339,NA,167,CRO,NA,Cfb,10,9.75,800,800,120917,26.3,63.6,10.1,0.014,23.3,0.042,6.5,1.67
BE-Maa,50.9801111,5.6318611,NA,86,CSH,NA,Cfb,10.9,9.84,816.4,757,119705,20,63.8,16.2,0.0129,25.6,0.0491,5.1,4.16
BE-Vie,50.304962,5.998099,NA,509,MF,NA,Cfb,7.8,7.91,1062,1103,122815,25.1,57.5,17.5,0.0101,33.6,0.0625,4.6,11.12
BF-Bon,10.865556,-3.072778,NA,289,SAV,NA,Aw,26.1,27.83,NA,941,236574,18.2,40.6,41.2,0.0157,10.7,0.0093,6.6,1.25
BF-Btd,12.46,-1.25,NA,309,CRO,NA,BSh,NA,28.31,NA,716,253282,19.6,24.3,56.1,0.0156,6.4,0.0057,6.4,0.89
BG-Crp,42.2149,25.2817,NA,182,CRO,NA,Cfa,12,12.3,598,550,161354,35.6,46.3,18.1,0.0143,29.4,0.0313,6.8,3.28
BG-Rzn,41.6947,24.7387,NA,1496,ENF,NA,Dfb,5.7,6.75,1059,716,162409,19.2,31.8,49.1,0.0102,26.7,0.0545,5.6,8.53
BJ-Nan,9.64698333,1.74088333,NA,422,CRO,NA,Aw,26,26.47,1200,1203,208511,19.4,19.5,61.1,0.0131,10.6,0.0102,6,1.45
BR-CMT,-13.2875,-56.0882,427,416,CRO,Aw,Aw,26.8,24.12,1566,1991,175785,24.8,16.4,58.8,0.0125,15.9,0.0149,5.3,2.53
BR-CST,-7.9682,-38.3842,468,459,DNF,Bsh,Aw,25.2,23.86,642,745,213101,18.9,27.8,53.3,0.0135,19,0.0118,6.2,1.28
BR-Cui,-0.6661,-47.2833,21,15,WET,Am,Am,26.4,26.5,457.2,2523,202157,44.4,28.1,27.5,0.0089,18,0.0464,4.7,6.48
BR-Ma2,-2.6091,-60.2093,130,85,EBF,Af,Af,26.68,26.44,2252,2352,176739,33.8,23.6,42.6,0.0111,16.6,0.0223,4,2.99
BR-Npw,-16.498,-56.412,120,126,WSA,Aw,Aw,24.9,25.24,1486,1320,182940,20.8,30.9,48.3,0.0124,11,0.028,5.7,2.38
BR-PRS,-29.744,-53.1503,NA,51,CRO,Cfa,Cfa,21,19.99,1500,1502,180249,27.7,29,43.3,0.0117,22.7,0.0385,5.2,5.69
BR-Sa1,-2.8567,-54.9589,88,174,EBF,Am,Am,26.13,25.63,2074.79,1868,179617,56.9,20.6,22.5,0.0113,16.2,0.0238,4.2,3.39
BR-Sa3,-3.018,-54.9714,100,176,EBF,Am,Am,26.12,25.55,2043.77,1852,178443,53.4,18.4,28.1,0.0114,16.5,0.0261,4.2,3.02
BW-GhG,-21.51,21.74,NA,1161,GRA,NA,BSh,NA,22.2,NA,376,260037,13.9,10.3,75.8,0.0154,10.5,0.0081,7.4,0.66
BW-GhM,-21.2,21.75,NA,1150,SAV,NA,BSh,NA,22.32,NA,365,259134,17.3,9.8,72.9,0.0151,11.2,0.0079,7.4,0.67
BW-Ghz,-22.409167,21.7130556,NA,1085,OSH,NA,BSh,NA,22.21,NA,352,261336,12.8,10.6,76.6,0.0153,10.4,0.0057,7.4,0.57
BW-Gum,-18.964722,22.3711111,NA,979,WET,NA,BSh,21,23.19,460,462,248226,14.7,10,75.3,0.0118,9.7,0.0103,6.3,4.49
BW-Kvb,-18.1076,24.637,NA,998,SAV,NA,BSh,23,23.56,55,574,236698,16.8,4.4,78.8,0.0149,11.2,0.0116,6.5,0.93
BW-Ma1,-19.9165,23.5603333,NA,947,SAV,NA,BSh,22,23.97,464,423,251779,11.4,7.3,81.4,0.014,9.1,0.0136,6.8,1.12
BW-Mkt,-19.923,23.594,NA,945,SAV,NA,BSh,NA,23.94,NA,419,251692,11.7,6.7,81.6,0.0142,9.8,0.014,6.9,1.36
BW-Nxr,-19.548056,23.1791667,NA,951,GRA,NA,BSh,21,23.43,460,436,250704,10,8.1,81.8,0.0142,9.8,0.0179,6.5,1.06
CA-ARB,52.695,-83.9452,90,91,WET,Dfb,Dfc,-1.3,-1.96,700,625,139354,32.6,33.5,33.9,0.0094,35.2,0.0649,6.4,15.28
CA-ARF,52.7008,-83.955,88,91,WET,Dfb,Dfc,-1.3,-1.96,700,625,139918,32.2,32.9,34.9,0.0093,35.7,0.0785,6.2,14.31
CA-BOU,50.5244,-63.2064,108,125,WET,Cwc,Dfc,1.5,0.79,1011,1032,137534,16,35.8,48.2,0.011,39.6,0.0513,5.7,5.26
CA-Ca1,49.8673,-125.3336,300,287,ENF,Cfb,Csb,9.93,7.41,1369,1692,132347,14.7,51.1,34.3,0.0098,34.6,0.077,5.3,5.16
CA-Ca2,49.8705,-125.2909,300,194,ENF,Cfb,Csb,9.86,8.69,1474,1587,132872,12.3,50.6,37.1,0.011,32,0.0717,5.4,6.53
CA-Ca3,49.5346,-124.9004,NA,148,ENF,Cfb,Cfb,9.94,8.7,1676,1582,134635,11.3,39.6,49.1,0.0097,32.7,0.0678,5.3,6.17
CA-Cbo,44.3167,-79.9333,120,214,DBF,Dfb,Dfb,6.66,6.46,876.34,874,153061,21.9,34.6,43.4,0.0119,19,0.0758,5.5,8.7
CA-CF1,58.6658,-93.83,16.5,25,WET,Dfc,Dfc,-6.5,-6.67,452,417,132228,27.8,24.2,47.9,0.0088,49.2,0.0871,6.3,25.28
CA-CF2,58.6658,-93.83,16.5,25,WET,Dfc,Dfc,-6.5,-6.67,452,417,132228,27.8,24.2,47.9,0.0088,49.2,0.0871,6.3,25.28
CA-Cha,45.8847,-67.3569,341,150,MF,Dfb,Dfb,3.46,5.01,971.68,1103,147927,15.9,41.4,42.7,0.0111,41.7,0.0573,4.5,9.64
CA-Da1,64.8689,-111.5748,NA,411,OSH,NA,Dfc,-9,-9.54,250,252,115320,10.2,35,54.8,0.0067,65.3,0.0311,5.7,7.54
CA-Da2,64.8648,-111.5748,NA,411,WET,NA,Dfc,-9,-9.54,250,252,115269,10.7,34.4,55,0.0067,66.1,0.0311,5.7,8.03
CA-DB2,49.119,-122.9951,4,7,WET,NA,Cfb,NA,10.21,NA,1342,138923,18.2,49.8,32.1,0.0109,28.2,0.1077,5.7,9.41
CA-DBB,49.1293,-122.9849,4,3,WET,Csb,Cfb,10,10.35,1128,1469,138641,14.5,53.1,32.4,0.0108,26.7,0.0979,5.5,9.3
CA-DL1,64.8689,-111.5748,425,411,OSH,Dfc,Dfc,-9,-9.54,250,252,115320,10.2,35,54.8,0.0067,65.3,0.0311,5.7,7.54
CA-DL2,64.8648,-111.5677,416,419,WET,Dfc,Dfc,-9,-9.54,250,252,115269,9.9,33.3,56.8,0.0065,66.1,0.0303,5.8,7.29
CA-ER1,43.6405,-80.4123,370,371,CRO,Dfb,Dfb,6.7,6.26,946,924,153762,19.5,49.4,31.1,0.0135,23.7,0.0562,6.9,3.73
CA-ER2,43.6419,-80.414,370,371,CRO,Dfb,Dfb,6.7,6.26,946,924,153662,18.3,49.5,32.2,0.0134,24.2,0.0615,6.9,4
CA-Gro,48.2167,-82.1556,340,337,MF,Dfb,Dfb,1.3,1.35,831,740,145564,14.8,38.2,47,0.0098,31,0.0687,5.5,4.72
CA-HPC,68.3203,-133.5188,80,79,ENF,Dfc,Dfc,-8.2,-8.71,240.6,238,105387,33.4,40,26.6,0.0063,47.7,0.0357,5.3,9.19
CA-KLP,51.5902,-81.7684,71,67,WET,Dfb,Dfc,-1.1,-0.93,680,648,140247,28.3,38.8,32.9,0.0095,32.8,0.0725,6.5,15.47
CA-Let,49.7093,-112.9402,960,941,GRA,Dfb,Dfb,5.36,5.75,398.4,387,161727,31.5,39.4,29.1,0.0126,22.5,0.0279,6.9,3.07
CA-LP1,55.1119,-122.8414,751,737,ENF,Csa,Dfc,2,2.78,570,723,130686,21.1,44,34.9,0.0092,30.4,0.077,5.4,4.71
CA-LuM,43.9201,-80.4052,485,483,WET,Dfb,Dfb,6.6,5.4,905,982,152886,22.7,37.9,39.4,0.0125,24.5,0.0684,6.1,7.57
CA-MA1,50.1645,-97.8762,261,260,CRO,Dfb,Dfb,2.6,2.24,514,519,150822,26.3,35.5,38.3,0.0116,31.8,0.0396,7.2,5.83
CA-MA2,50.171,-97.8762,261,260,CRO,Dfb,Dfb,2.6,2.14,514,518,150721,29,35.3,35.7,0.0114,29.6,0.0415,7.1,6.03
CA-MA3,50.1774,-97.8686,261,259,GRA,Dfb,Dfb,2.6,2.11,514,519,150611,29.4,33.9,36.7,0.0112,29.7,0.045,7.2,6.35
CA-Man,55.8796,-98.4808,259,259,ENF,Dfc,Dfc,-3.2,-3.08,520,509,139898,48.1,33.7,18.2,0.009,33.9,0.0357,6,25.1
CA-Mer,45.4094,-75.5186,70,71,WET,Dfb,Dfb,6,5.51,943,943,151553,28.5,32.7,38.8,0.0124,24.3,0.0573,4.8,10.22
CA-MR3,50.8671,-111.9045,712,714,GRA,Dwd,BSk,NA,4.05,325,332,159680,22,25.2,52.8,0.0124,18.3,0.0215,6.8,3.53
CA-MR5,50.9056,-111.8823,700,684,GRA,Dwd,BSk,NA,4.03,325,329,160033,19.5,27.6,52.9,0.0124,17.6,0.0205,6.8,2.68
CA-Na1,46.4722,-67.1,341,324,ENF,Dfb,Dfb,7.09,3.25,1102.7,1147,146820,10.6,39.2,50.3,0.0104,51.5,0.0609,4.4,12.86
CA-NS1,55.8792,-98.4839,260,259,ENF,Dfc,Dfc,-2.89,-3.08,500.29,509,139925,54.1,31.5,14.3,0.0092,32.6,0.0344,6.1,6.92
CA-NS2,55.9058,-98.5247,260,260,ENF,Dfc,Dfc,-2.88,-3.1,499.82,511,139768,56,31.7,12.3,0.0088,28.3,0.0197,5.9,4.14
CA-NS3,55.9117,-98.3822,260,256,ENF,Dfc,Dfc,-2.87,-3.15,502.22,513,139464,57.7,30.5,11.8,0.0084,29.3,0.0227,5.9,5.84
CA-NS4,55.9144,-98.3806,260,256,ENF,Dfc,Dfc,-2.87,-3.15,502.22,513,139464,59,30.7,10.3,0.0084,31.5,0.0222,5.9,5.81
CA-NS5,55.8631,-98.485,260,259,ENF,Dfc,Dfc,-2.86,-3.03,500.34,515,139507,54.7,32.3,13,0.0095,34.9,0.0217,5.9,5.24
CA-NS6,55.9167,-98.9644,244,261,OSH,Dfc,Dfc,-3.08,-2.88,495.37,510,139303,48.6,35.5,15.9,0.0099,40.8,0.0253,6,7.91
CA-NS7,56.6358,-99.9483,297,287,OSH,Dfc,Dfc,-3.52,-3.38,483.27,496,137362,34.4,42.7,22.8,0.0102,28.7,0.0281,6,5.12
CA-NS8,55.8981,-98.2161,274,234,ENF,Dfc,Dfc,-2.71,-3.06,506.69,513,139452,46.6,37.2,16.2,0.0096,32.3,0.029,6.1,7.36
CA-Oas,53.6289,-106.1978,530,574,DBF,Dfc,Dfc,0.34,0.65,428.53,465,149310,19.5,29.8,50.7,0.0106,23.6,0.0148,6.2,3.49
CA-Obs,53.9872,-105.1178,628.94,598,ENF,Dfc,Dfc,0.79,0.03,405.6,475,148291,10.9,24.9,64.2,0.0102,13.5,0.0096,6.1,3.01
CA-Ojp,53.9163,-104.692,579,509,ENF,Dfc,Dfc,0.12,-0.24,430.5,473,147871,7.6,12.6,79.8,0.0106,18.2,0.0104,6.2,2.1
CA-Qc2,49.7598,-74.5711,NA,378,MF,NA,Dfc,NA,-0.32,NA,965,142890,15.1,34,51,0.0101,26.4,0.0551,5.1,5.5
CA-Qcu,49.2671,-74.0365,392.3,416,ENF,Dfc,Dfc,0.13,0.02,949.78,975,143968,17.7,38.9,43.4,0.0114,24.8,0.0598,5.4,5.93
CA-Qfo,49.6925,-74.3421,382,395,ENF,Dfc,Dfc,-0.36,-0.3,962.32,983,143316,15.9,37.2,46.9,0.01,25.8,0.0564,5.1,3.35
CA-RPn,48.2604,-58.6632,150,123,OSH,Dfb,Dfb,5,3.92,1340.4,1479,134125,16.8,39.7,43.5,0.01,30.5,0.0334,5.4,7.54
CA-RPp,48.2632,-58.667,162,123,OSH,Dfb,Dfb,5,4,1340.4,1459,134134,16.7,40,43.3,0.009,29.5,0.038,4.9,7.64
CA-SCB,61.3089,-121.2984,280,285,WET,Dfc,Dfc,-2.8,-2.5,388,414,122715,18.4,41.2,40.4,0.0102,33.4,0.0227,6.3,6.77
CA-SCC,61.3079,-121.2992,285,285,ENF,Dfc,Dfc,-2.8,-2.5,387.6,414,122742,18.4,41.2,40.4,0.0102,33.4,0.0227,6.3,6.77
CA-SF1,54.485,-105.8176,536,565,ENF,Dfc,Dfc,0.4,-0.03,470,494,146886,13.4,30.2,56.4,0.0105,17.5,0.0129,6,2.47
CA-SF2,54.2539,-105.8775,520,508,ENF,Dfc,Dfc,0.4,0.23,470,486,147260,15,29.2,55.8,0.0103,21.2,0.0142,6,3.28
CA-SF3,54.0916,-106.0053,540,543,OSH,Dfc,Dfc,0.4,0.37,470,481,148115,16.1,29.6,54.4,0.0106,17.5,0.0121,6,4.11
CA-SJ1,53.908,-104.656,580,510,ENF,Dfc,Dfc,0.13,-0.21,430.23,475,147537,11.1,15.9,73.1,0.0106,25.4,0.0114,6.2,4
CA-SJ2,53.945,-104.649,580,520,ENF,Dfc,Dfc,0.11,-0.29,430.03,477,147398,9.5,13.4,77.1,0.0115,18.5,0.0156,6.7,3.53
CA-SJ3,53.8758,-104.6453,NA,496,ENF,Dfc,Dfc,0.13,-0.21,433.33,475,147832,9.3,13.5,77.2,0.0103,22.9,0.009,6.1,1.91
CA-SMC,63.1534,-123.2522,150,225,ENF,Dfc,Dfc,-2.8,-4.73,388,349,118226,28.6,38.9,32.5,0.0086,40.4,0.0353,6.2,13.22
CA-TP1,42.6609,-80.5595,265,200,ENF,Dfb,Dfb,8,8.36,1036,986,154572,23.2,35,41.8,0.0131,23.5,0.06,6.8,5.66
CA-TP2,42.7744,-80.4588,212,233,ENF,Dfb,Dfb,8,8.13,1036,970,154265,6.8,16.1,77.1,0.0122,27.1,0.0908,6,10.75
CA-TP3,42.7068,-80.3483,184,226,ENF,Dfb,Dfb,8,8.35,1036,970,154574,17.6,24.5,57.9,0.0124,23.6,0.0809,6,7.91
CA-TP4,42.7102,-80.3574,184,228,ENF,Dfb,Dfb,8,8.16,1036,976,154377,12.2,16.7,71.1,0.0124,23.9,0.0841,6.3,9.04
CA-TPD,42.6353,-80.5577,260,204,DBF,Dfb,Dfb,8,8.36,1036,986,154528,21,37.8,41.2,0.0124,22.4,0.0873,6,9.78
CA-TVC,68.7462,-133.5017,85,85,OSH,Dfc,Dfc,-8.2,-9.4,240.6,219,103253,40.2,39.3,20.5,0.0065,38.9,0.0412,5.6,13.85
CA-WP1,54.9538,-112.467,540,540,WET,Dfc,Dfc,1.1,0.99,461.07,485,145822,11.7,30.7,57.7,0.0105,25.6,0.0241,6,3.71
CA-WP2,55.5375,-112.3343,NA,733,WET,Dfc,Dfc,NA,-0.25,NA,503,142884,20.5,30.8,48.7,0.0104,16.6,0.0248,6,3.68
CA-WP3,54.47,-113.32,NA,672,WET,Dfc,Dfb,NA,1.47,NA,495,146705,NA,NA,NA,NA,NA,NA,NA,NA
CD-Ygb,0.814473,24.502526,NA,467,EBF,NA,Af,NA,24.28,NA,1774,185823,28.9,10.7,60.4,0.0123,11.9,0.0314,4.6,3.18
CG-Hin,-4.6811111,12.0036111,NA,114,EBF,NA,Aw,23.7,24.9,1200,1214,150766,19.3,8.1,72.5,0.0122,10.2,0.0174,5.3,2.76
CG-Kis,-4.7913889,11.9822222,NA,94,EBF,NA,Aw,23.5,24.93,1076,1190,151771,17.5,7.4,75.1,0.0118,11.3,0.0138,5.6,2.7
CG-Tch,-4.2891667,11.6564167,NA,77,SAV,NA,Aw,25.7,25.57,1150,1320,149113,20.5,12.2,67.3,0.0122,15.3,0.0185,5.5,2.39
CH-Aws,46.583194,9.790417,NA,2165,GRA,NA,ET,2.3,-1.47,918,1158,158867,16.9,34.4,48.7,0.0102,42.2,0.0893,5.1,8.15
CH-BaA,47.55123,7.5956,NA,284,URB,NA,Cfb,10.9,10.66,778,789,138542,NA,NA,NA,NA,NA,NA,NA,NA
CH-BaK,47.56173,7.58049,NA,272,URB,NA,Cfb,10.9,10.46,778,760,138393,NA,NA,NA,NA,NA,NA,NA,NA
CH-Cha,47.2102222,8.41044444,NA,407,GRA,NA,Cfb,9.5,9.6,1136,1194,139123,26.7,38.7,34.6,0.0122,34,0.0765,6.3,6.97
CH-Dav,46.81533,9.85591,NA,1720,ENF,NA,ET,2.8,2.96,1062,1094,152785,13.2,34,52.8,0.0089,32.6,0.0928,4.7,14.09
CH-Dsc,46.7896991,9.8644382,NA,2049,GRA,NA,ET,2.8,0.38,1022,1231,154067,12.8,34.9,52.4,0.0094,28,0.0896,5.6,11.22
CH-Frk,46.577752,8.421466,NA,2535,GRA,NA,Dfc,0.4,-1.75,1450,1224,165593,19.2,34.5,46.2,0.0104,34,0.0719,5.6,15.47
CH-Fru,47.1158333,8.53777778,NA,875,GRA,NA,Cfb,7.2,8.47,1651,1398,144077,23.4,36.2,40.3,0.0096,40.4,0.0763,5.2,9.1
CH-Lae,47.478333,8.364389,NA,563,MF,NA,Cfb,8.3,8.75,1100,1160,138984,43.4,28.8,27.8,0.0093,34.8,0.0847,5,11.98
CH-Oe1,47.2858333,7.73194444,NA,464,GRA,NA,Cfb,9,9.22,1100,1126,139672,31.9,38.2,29.9,0.0119,30.6,0.0674,6.3,6.71
CH-Oe2,47.286417,7.73375,NA,464,CRO,NA,Cfb,9.8,9.22,1155,1126,139722,31.2,38.8,30,0.012,30,0.0685,6.4,6.26
