Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
US-PSH,36.2347,-119.9247,70,70,DBF,Bsk,BSk,15.6,17.27,191,171,215519,28.6,33.7,37.7,0.0156,19,0.0128,7.8,1.07
US-PSL,36.8276,-120.1397,65,67,DBF,Bsk,BSk,16.7,16.14,311,226,213045,23.6,39.7,36.7,0.0158,20.1,0.0245,7.6,2.45
US-PVA,30.0958,-95.9695,86.5,83,CRO,Cfa,Cfa,20.7,19.83,1118,1069,191750,12.5,28,59.5,0.015,18.8,0.0314,5.9,3.51
US-RC1,46.7837,-117.0777,807,795,CRO,Dsb,Csb,9,8.24,550,611,164312,22.9,68.8,8.3,0.0129,21.9,0.0307,5.6,5.25
US-RC2,46.7776,-117.0807,799,795,CRO,Dsb,Csb,9,8.24,550,611,164430,23,68.3,8.7,0.0128,22.3,0.0285,5.8,5.05
US-RC3,46.991,-118.598,NA,464,CRO,Dsb,BSk,10,10.07,280,260,167258,13.5,53.9,32.7,0.0121,12.4,0.0146,7,1.33
US-RC4,46.758,-116.949,817,812,CRO,Dsb,Csb,9,8.04,680,678,164459,23,66.2,10.8,0.0126,25.6,0.0338,5.9,6.55
US-RC5,47.01,-119.248,349,337,CRO,Dsb,BSk,11,10.16,230,190,167848,6.9,33.2,59.9,0.0136,13.7,0.0202,7.4,1.8
US-RFE,39.8771,-105.169,1725,1728,GRA,Bsk,Dfb,10.2,9.59,468,474,196233,23.2,37.1,39.8,0.0131,18.8,0.0242,6.9,2.46
US-RFW,39.8751,-105.2184,1864,1858,GRA,Bsk,Dfb,10.2,8.99,468,478,195052,21.7,40,38.3,0.0127,18.5,0.0284,6.7,3.18
US-RGA,34.4121,-91.6752,61,59,CRO,Csa,Cfa,16.7,16.84,1250,1291,185515,27.5,61.9,10.6,0.0135,20.9,0.0288,5.9,2.19
US-RGB,39.5771,-121.867,33,33,CRO,Csa,Csa,16,16.12,737,573,197496,40.3,40.9,18.8,0.0156,31.9,0.0232,6.3,2.62
US-RGG,39.5944,-122.0253,36,34,CRO,Csa,Csa,16,15.93,610,537,198367,33,53.7,13.3,0.0157,30.3,0.0199,6.7,2.02
US-RGo,39.6769,-122.0052,40,41,CRO,Csa,Csa,16,16.05,610,560,198379,31.4,50.2,18.3,0.0154,25.6,0.0202,6.4,2.12
US-RGW,33.6183,-91.4355,41,45,CRO,Csa,Cfa,16.7,17.24,1283,1340,186617,23.7,59.7,16.5,0.014,26.6,0.0329,5.6,3.55
US-Rls,43.1439,-116.7356,1608,1498,CSH,Bsh,BSk,8.4,7.15,333,375,189635,22.6,41.1,36.2,0.0117,25.9,0.0277,6.7,3.31
US-Rms,43.0645,-116.7486,2111,1973,CSH,Bsh,BSk,5.4,5.21,800,448,187018,20.5,39.7,39.8,0.0104,25.9,0.0505,6.3,6.97
US-Ro1,44.7143,-93.0898,290,282,CRO,Dfa,Dfa,6.4,7.05,879,768,155431,17.2,39.1,43.7,0.013,27.3,0.0572,6.1,4.07
US-Ro2,44.7288,-93.0888,292,283,CRO,Dfa,Dfa,6.4,7.05,879,768,155088,15.6,34,50.3,0.013,24.4,0.0558,6.1,4.15
US-Ro3,44.7217,-93.0893,260,283,CRO,Dfa,Dfa,6.4,7.05,879,768,155191,18.6,33.6,47.7,0.013,27,0.0539,6.3,3.81
US-Ro4,44.6781,-93.0723,274,268,GRA,Dfa,Dfa,6.4,6.93,879,766,155507,17,39.1,44,0.0132,27.9,0.0544,6,4.69
US-Ro5,44.691,-93.0576,283,274,CRO,Dfa,Dfa,6.4,6.93,879,766,155509,19.1,33.5,47.5,0.0132,27.3,0.0489,5.8,4.84
US-Ro6,44.6946,-93.0578,282,274,CRO,Dfa,Dfa,6.4,6.93,879,766,155483,15.2,36.2,48.6,0.0132,27.7,0.0565,5.8,4.47
US-Rpf,65.1198,-147.429,497,346,DBF,Dwc,Dfc,-0.8,-3.26,450,321,97500,14.2,65.3,20.5,0.0037,51.6,0.0906,5,29.64
US-RRC,37.3344,-77.2065,0.1,18,WET,Dfa,Cfa,15.4,14.47,1117,1137,176947,19.3,33.2,47.5,0.013,22,0.0543,4.6,8.25
US-Rwe,43.0653,-116.7591,2098,1962,CSH,Bsh,BSk,5.4,4.89,800,463,186609,21.6,40.2,38.2,0.0105,26.9,0.0653,5.9,12.21
US-Rwf,43.1207,-116.7231,1878,1890,CSH,Bsh,BSk,6.5,5.73,505,449,188023,16.6,38.9,44.5,0.0142,30.3,0.0269,6.8,3.3
